model,n,positive,negative,auc,auc_95ci_low,auc_95ci_high,average_precision,brier,brier_95ci_low,brier_95ci_high,calibration_intercept,calibration_slope,expected_calibration_error_10bins,accuracy_at_0.5,balanced_accuracy_at_0.5,precision_at_0.5,recall_at_0.5,sensitivity_at_0.5,specificity_at_0.5,ppv_at_0.5,npv_at_0.5,f1_at_0.5,mcc_at_0.5,tp_at_0.5,fp_at_0.5,tn_at_0.5,fn_at_0.5
Penalized logistic regression,193,132,61,0.48012916045702936,0.40104109936132587,0.5625964973405652,0.6695729742863196,0.26524346552717665,0.2496709622132258,0.28240771315079244,0.8137630908592088,-0.4695762452303317,0.20361561887002355,0.5025906735751295,0.4864629905613512,0.6730769230769231,0.5303030303030303,0.5303030303030303,0.4426229508196721,0.6730769230769231,0.30337078651685395,0.5932203389830508,-0.025251834687041567,70,34,27,62
Random forest,193,132,61,0.6174863387978142,0.5255681769077867,0.6998359965701481,0.766549077611661,0.22014113453148101,0.19461449236056086,0.24381335777431137,0.5294710609692216,0.4561593170340691,0.09043867254580347,0.6580310880829016,0.5692374565325384,0.722972972972973,0.8106060606060606,0.8106060606060606,0.32786885245901637,0.722972972972973,0.4444444444444444,0.7642857142857142,0.15226001550786925,107,41,20,25
Gradient boosting,193,132,61,0.635618479880775,0.5484461465589944,0.7178141407350493,0.7952363525605479,0.22303275671308578,0.18637196946579085,0.26193954074238823,0.41264666703706554,0.3494087163646003,0.10898420947543205,0.6787564766839378,0.5711624441132638,0.7215189873417721,0.8636363636363636,0.8636363636363636,0.2786885245901639,0.7215189873417721,0.4857142857142857,0.7862068965517242,0.17173948999726563,114,44,17,18
Support vector machine,193,132,61,0.5649528067560854,0.4733977063580988,0.6578093541801454,0.7265308083317141,0.21232290958869676,0.18676532475888788,0.23798925330167486,0.1400336539809725,0.7954185653355814,0.019752993555758956,0.694300518134715,0.5296199701937407,0.6972972972972973,0.9772727272727273,0.9772727272727273,0.08196721311475409,0.6972972972972973,0.625,0.8138801261829653,0.13817696146224323,129,56,5,3
