model,n_splits,auc_mean,auc_sd,auc_approx_95ci_low,auc_approx_95ci_high,accuracy_at_0.5_mean,accuracy_at_0.5_sd,accuracy_at_0.5_approx_95ci_low,accuracy_at_0.5_approx_95ci_high,balanced_accuracy_at_0.5_mean,balanced_accuracy_at_0.5_sd,balanced_accuracy_at_0.5_approx_95ci_low,balanced_accuracy_at_0.5_approx_95ci_high,precision_at_0.5_mean,precision_at_0.5_sd,precision_at_0.5_approx_95ci_low,precision_at_0.5_approx_95ci_high,recall_at_0.5_mean,recall_at_0.5_sd,recall_at_0.5_approx_95ci_low,recall_at_0.5_approx_95ci_high,f1_at_0.5_mean,f1_at_0.5_sd,f1_at_0.5_approx_95ci_low,f1_at_0.5_approx_95ci_high,mcc_at_0.5_mean,mcc_at_0.5_sd,mcc_at_0.5_approx_95ci_low,mcc_at_0.5_approx_95ci_high,brier_mean,brier_sd,brier_approx_95ci_low,brier_approx_95ci_high
Penalized logistic regression,25,0.5026630871502666,0.08602791408387618,0.4689401448293872,0.5363860294711461,0.5191632928475033,0.07983770766362355,0.48786691144336286,0.5504596742516437,0.5112250712250712,0.07571483310748939,0.48154485664693536,0.5409052858032071,0.6932169844832383,0.06150743401188192,0.6691060703505806,0.7173278986158961,0.5321937321937322,0.11969061874947612,0.4852750096439376,0.5791124547435269,0.5965091897788743,0.08754587626174457,0.5621912062842704,0.6308271732734783,0.02312655881123533,0.1453069394403451,-0.03383376144937994,0.08008687907185061,0.26910926146044833,0.02927996749179819,0.2576315142036634,0.28058700871723324
Random forest,25,0.6195620571261596,0.08680114892328852,0.5855360067482306,0.6535881075040887,0.6455600539811066,0.06592357464510924,0.6197180127202238,0.6714020952419895,0.55991452991453,0.06710351183818608,0.533609953273961,0.5862191065550989,0.718025871012356,0.03966776772854813,0.7024761060627652,0.7335756359619469,0.7926495726495726,0.08149600744480359,0.7607031377312096,0.8245960075679356,0.7522226026079519,0.05324995163020378,0.731348621568912,0.7730965836469919,0.13377080322479806,0.14437178718128654,0.07717706264973374,0.1903645437998624,0.22259031063597662,0.020036906305287216,0.21473584336430404,0.2304447779076492
Gradient boosting,25,0.6281037694499232,0.08439007780507825,0.5950228589503325,0.6611846799495139,0.6818083670715249,0.05319521833755487,0.6609558414832034,0.7026608926598464,0.5644301994301995,0.06460452604071115,0.5391052252222407,0.5897551736381582,0.7179291911027336,0.035565481331505736,0.7039875224207833,0.7318708597846838,0.8834757834757835,0.06604757347546587,0.8575851346734009,0.909366432278166,0.790911181191175,0.038883437858246675,0.7756688735507423,0.8061534888316076,0.1587600278034128,0.16437481195963116,0.09432510151523739,0.22319495409158824,0.21475303171925547,0.023992379571910732,0.20534801892706647,0.22415804451144447
Support vector machine,25,0.55272956388341,0.10683959472781279,0.5108484427501074,0.5946106850167125,0.6776518218623483,0.019266762411814825,0.6700992509969169,0.6852043927277797,0.5027350427350428,0.01950381673321595,0.4950895465756221,0.5103805388944634,0.6853273378273379,0.014504208228560014,0.6796416882017424,0.6910129874529334,0.9788034188034189,0.04108750413872979,0.9626971171810369,0.994909720425801,0.805657103124289,0.015231703044944239,0.7996862755306708,0.8116279307179071,0.0066730046893882025,0.07871977449786509,-0.02418514691377491,0.03753115629255131,0.21789172474713536,0.009626229592663047,0.21411824274681146,0.22166520674745926
