model,repeat,fold,n_test,n_positive,n_negative,fixed_params_from_primary_cv,auc,average_precision,brier,accuracy_at_0.5,balanced_accuracy_at_0.5,precision_at_0.5,recall_at_0.5,f1_at_0.5,mcc_at_0.5
Gradient boosting,4,2,39,27,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.6959876543209876,0.8163961736671788,0.20012223301144552,0.6923076923076923,0.6157407407407407,0.7586206896551724,0.8148148148148148,0.7857142857142857,0.24467509146445976
Support vector machine,4,2,39,27,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.19135802469135804,0.540246644517797,0.21827889689367952,0.6923076923076923,0.5,0.6923076923076923,1.0,0.8181818181818182,0.0
Penalized logistic regression,4,3,39,27,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.32407407407407407,0.591391406812735,0.34652666553884404,0.38461538461538464,0.3935185185185185,0.5882352941176471,0.37037037037037035,0.45454545454545453,-0.19821694783142402
Random forest,4,3,39,27,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.5771604938271604,0.7988357161438304,0.23574911271700302,0.5897435897435898,0.49537037037037035,0.6896551724137931,0.7407407407407407,0.7142857142857143,-0.00978700365857839
Gradient boosting,4,3,39,27,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.5308641975308641,0.7733195952210397,0.2436990843485252,0.6153846153846154,0.4675925925925926,0.6764705882352942,0.8518518518518519,0.7540983606557377,-0.08947924869885988
Support vector machine,4,3,39,27,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.5246913580246914,0.7476182316610263,0.21742909251912265,0.6923076923076923,0.5,0.6923076923076923,1.0,0.8181818181818182,0.0
Penalized logistic regression,4,4,38,26,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.6506410256410257,0.7982597096138175,0.22920030748440576,0.5789473684210527,0.6025641025641025,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.19096396641051544
Random forest,4,4,38,26,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.6826923076923077,0.8001825130361687,0.20907671364890407,0.6842105263157895,0.5673076923076923,0.71875,0.8846153846153846,0.7931034482758621,0.17160161824591103
Gradient boosting,4,4,38,26,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.6378205128205128,0.7834691690900668,0.2114951009625446,0.6578947368421053,0.4807692307692308,0.6756756756756757,0.9615384615384616,0.7936507936507936,-0.11168711865749101
Support vector machine,4,4,38,26,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.5512820512820513,0.709113318637943,0.21277951446846358,0.6842105263157895,0.5,0.6842105263157895,1.0,0.8125,0.0
Penalized logistic regression,4,5,38,26,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.6666666666666666,0.8070334163587676,0.21679066351140266,0.6842105263157895,0.6121794871794872,0.75,0.8076923076923077,0.7777777777777778,0.23683273335783545
Random forest,4,5,38,26,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.6826923076923077,0.825492011007396,0.20175244313604393,0.7368421052631579,0.6730769230769231,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.36539907432351754
Gradient boosting,4,5,38,26,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.6858974358974359,0.7724771374225468,0.17756977062256232,0.7894736842105263,0.7115384615384616,0.8,0.9230769230769231,0.8571428571428571,0.48238191061886604
Support vector machine,4,5,38,26,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.5705128205128205,0.7360763963014249,0.21080083498885946,0.6842105263157895,0.5,0.6842105263157895,1.0,0.8125,0.0
Penalized logistic regression,5,1,39,26,13,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.6597633136094674,0.783839452059973,0.24991328710487182,0.6666666666666666,0.7115384615384615,0.8823529411764706,0.5769230769230769,0.6976744186046512,0.40219983326992187
Random forest,5,1,39,26,13,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.772189349112426,0.8687876976496139,0.18558489415201104,0.7948717948717948,0.7307692307692308,0.8,0.9230769230769231,0.8571428571428571,0.5163977794943222
Gradient boosting,5,1,39,26,13,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.7396449704142012,0.8499221061861493,0.18782841742216272,0.717948717948718,0.6153846153846154,0.7272727272727273,0.9230769230769231,0.8135593220338984,0.30151134457776363
Support vector machine,5,1,39,26,13,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.6035502958579881,0.7611086865439971,0.2166366686065455,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,0.0
Penalized logistic regression,5,2,39,27,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.40432098765432095,0.6482801950052739,0.31335579168375216,0.4358974358974359,0.4305555555555556,0.631578947368421,0.4444444444444444,0.5217391304347826,-0.12824729401064425
Random forest,5,2,39,27,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.5864197530864198,0.7675465772674963,0.22521529161654555,0.6410256410256411,0.5324074074074074,0.7096774193548387,0.8148148148148148,0.7586206896551724,0.0740834074167778
Gradient boosting,5,2,39,27,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.6944444444444444,0.841768813914161,0.20017530527515304,0.6410256410256411,0.5092592592592593,0.696969696969697,0.8518518518518519,0.7666666666666667,0.023688968483956716
Support vector machine,5,2,39,27,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.4722222222222222,0.6533252645798628,0.23840309297489193,0.6923076923076923,0.5694444444444444,0.7272727272727273,0.8888888888888888,0.8,0.17766726362967536
Penalized logistic regression,5,3,39,27,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.5401234567901235,0.7778055132814437,0.23775614050607916,0.5641025641025641,0.5,0.6923076923076923,0.6666666666666666,0.6792452830188679,0.0
Random forest,5,3,39,27,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.6172839506172839,0.815892360100746,0.2152043194320765,0.6666666666666666,0.5509259259259259,0.71875,0.8518518518518519,0.7796610169491526,0.12249473587652784
