model,fold,y_true,probability
Penalized logistic regression,2,0,0.42093277872752155
Penalized logistic regression,2,0,0.9943271245680735
Penalized logistic regression,2,0,0.4394560814710002
Penalized logistic regression,2,1,0.4902101653505291
Penalized logistic regression,2,0,0.9993686111877098
Penalized logistic regression,2,1,0.5428468957960693
Penalized logistic regression,2,1,0.4772348431367398
Penalized logistic regression,2,1,0.5747727901664765
Penalized logistic regression,2,1,0.25417563164242896
Penalized logistic regression,2,1,0.49411741044373114
Penalized logistic regression,2,1,0.4051307228803627
Penalized logistic regression,2,1,0.6423796475928948
Penalized logistic regression,2,1,0.5550989579548248
Penalized logistic regression,2,1,0.33479249922906373
Penalized logistic regression,2,0,0.4317441404679097
Penalized logistic regression,2,1,0.41306975864544637
Penalized logistic regression,2,1,0.48944041253536236
Penalized logistic regression,2,0,0.6400173506666786
Penalized logistic regression,2,1,0.5491859824517898
Penalized logistic regression,2,1,0.5763452778314195
Penalized logistic regression,2,1,0.5771902964936637
Penalized logistic regression,2,1,0.7529268240584853
Penalized logistic regression,2,1,0.5252221124610004
Penalized logistic regression,2,0,0.4845422450479383
Penalized logistic regression,2,0,0.3968665577675637
Penalized logistic regression,2,0,0.5189866348047536
Penalized logistic regression,2,0,0.48978622263248095
Penalized logistic regression,2,1,0.397512159646803
Penalized logistic regression,2,1,0.6310173983912706
Penalized logistic regression,2,1,0.3017041082355241
Penalized logistic regression,2,0,0.5205843129798846
Penalized logistic regression,2,1,0.5978090483277197
Penalized logistic regression,2,1,0.6598555249195504
Penalized logistic regression,2,1,0.5711160357977785
Penalized logistic regression,2,1,0.7318858726717179
Penalized logistic regression,2,1,0.20368959667166642
Penalized logistic regression,2,1,0.7404533804850121
Penalized logistic regression,2,0,0.5084322974970031
Penalized logistic regression,2,1,0.611342188708328
Random forest,2,0,0.5879365978109663
Random forest,2,0,0.476888783220934
Random forest,2,0,0.790887647910551
Random forest,2,1,0.5703439385605503
Random forest,2,0,0.4922263106024567
Random forest,2,1,0.7494028426223598
Random forest,2,1,0.6247701712987194
Random forest,2,1,0.7650659812782205
Random forest,2,1,0.7722685046899749
Random forest,2,1,0.6680051529074152
Random forest,2,1,0.8445208574560058
Random forest,2,1,0.9149002836465024
Random forest,2,1,0.902076981717788
Random forest,2,1,0.7023581965390228
Random forest,2,0,0.7244746468069345
Random forest,2,1,0.2907066283483001
Random forest,2,1,0.7437367151012702
Random forest,2,0,0.6557595421040257
Random forest,2,1,0.4480727033761307
Random forest,2,1,0.8623726829928001
Random forest,2,1,0.6492700345294583
Random forest,2,1,0.7595904361097008
Random forest,2,1,0.5135473928499861
Random forest,2,0,0.7574653351017681
Random forest,2,0,0.6509080900348732
Random forest,2,0,0.6821721655578459
Random forest,2,0,0.7654079276028041
Random forest,2,1,0.7953881466580542
Random forest,2,1,0.7934200548360986
Random forest,2,1,0.5520165526834955
Random forest,2,0,0.6016441222302924
Random forest,2,1,0.7935191084902828
Random forest,2,1,0.6369690941397446
Random forest,2,1,0.740409428375338
Random forest,2,1,0.849364077451033
Random forest,2,1,0.7706546349364088
Random forest,2,1,0.7395587713189155
Random forest,2,0,0.8144366385259649
Random forest,2,1,0.710686184054227
Gradient boosting,2,0,0.7252179083474704
Gradient boosting,2,0,0.654943636937295
Gradient boosting,2,0,0.7376333604490554
Gradient boosting,2,1,0.5891352911571072
Gradient boosting,2,0,0.654943636937295
Gradient boosting,2,1,0.8440565615717132
Gradient boosting,2,1,0.6317182918617723
Gradient boosting,2,1,0.7327011000353622
Gradient boosting,2,1,0.7910645398374477
Gradient boosting,2,1,0.6864418841132695
Gradient boosting,2,1,0.7885285852787416
Gradient boosting,2,1,0.816271944856659
Gradient boosting,2,1,0.8122870190098961
Gradient boosting,2,1,0.7182366693274242
Gradient boosting,2,0,0.7798096163495106
Gradient boosting,2,1,0.14966048805914645
Gradient boosting,2,1,0.7637647968221444
Gradient boosting,2,0,0.7266993817875118
Gradient boosting,2,1,0.3730390398362873
Gradient boosting,2,1,0.7623805552448045
Gradient boosting,2,1,0.5845659693237528
